ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2227361,"Vercheres",459,38,"18T","18T1H6S1Q",2,2020-09-23 00:56:09.0500000,0,943356,0,2021-08-23 00:05:14.4470000,45.783380,-73.349160
2231217,"Saint-Ours",459,38,"18T","18T1H6S1Q",2,2020-12-23 13:12:51.2330000,0,510683,0,2021-08-23 00:05:20.2200000,45.883370,-73.149150
2229304,"Saint-Bernard-de-Michaudville",459,38,"18T","18T1H6S1Q",2,2020-10-22 15:39:18.0200000,0,828847,0,2021-08-23 00:05:29.9800000,45.833370,-73.065840
2229947,"Saint-Louis",459,38,"18T","18T1H6S2Q",2,2020-08-04 17:04:15.1670000,0,831526,0,2021-08-23 00:05:34.5600000,45.850070,-72.982440
2230611,"Saint-Marcel-de-Richelieu",459,38,"18T","18T1H6S2Q",2,2020-08-04 16:29:35.9970000,0,851672,0,2021-08-23 00:05:40.8970000,45.866770,-72.899140
2226668,"Saint-Jude",459,38,"18T","18T1H6S2Q",2,2020-10-05 00:07:33.3770000,0,813129,0,2021-08-23 00:05:53.9770000,45.766770,-72.982440
2358292,"Barron",3578,233,"10U","10U2H6S4Q",3,2021-08-23 00:06:10.7030000,0,0,1052,2021-08-23 00:06:10.7030000,48.753190,-120.716500
1824128,"San Giovanni di Galermo",1363,110,"33S","33S1H5S2Q",1,2018-02-21 14:01:03.2800000,1186097,0,0,2021-08-23 00:06:19.4900000,37.550000,15.066670
1824486,"Gravina di Catania",1363,110,"33S","33S1H5S2Q",1,2018-02-21 12:07:19.8070000,1147802,0,0,2021-08-23 00:06:26.7370000,37.555550,15.062990
1824571,"Sant'Agata li Battiati",1363,110,"33S","33S1H5S2Q",1,2018-02-21 13:05:24.5570000,1151075,0,0,2021-08-23 00:06:30.6300000,37.557450,15.079990
1828032,"Trecastagni",1363,110,"33S","33S1H5S2Q",1,2018-02-21 10:27:17.2600000,1135795,0,0,2021-08-23 00:06:43.9500000,37.618560,15.077990
2085298,"Brownsboro",3576,233,"10T","10T2H2S4Q",3,2021-08-23 00:06:45.4970000,0,0,2503,2021-08-23 00:06:50.6700000,42.468180,-122.710040
1827322,"Viagrande",1363,110,"33S","33S1H5S2Q",1,2018-02-21 10:21:49.5970000,1133886,0,0,2021-08-23 00:06:56.2330000,37.607750,15.096590
1557513,"Las Flores",3567,233,"11S","11S2H5S1Q",3,2016-08-12 22:33:40.6300000,0,0,624626,2021-08-23 00:07:20.2400000,33.285870,-117.452260
1885126,"Esparto",3567,233,"10S","10S1H2S4Q",3,2013-10-31 08:00:06.9400000,0,122909,466338,2021-08-23 00:08:24.8100000,38.692130,-122.017190
1879838,"Norton",3567,233,"10S","10S1H3S3Q",2,2021-08-01 23:46:48.6430000,0,1855,0,2021-08-23 00:09:26.1870000,38.586020,-121.971080
1872339,"Allendale",3567,233,"10S","10S1H3S3Q",3,2013-10-03 19:16:46.3870000,0,14100,1409714,2021-08-23 00:09:41.9230000,38.444630,-121.943020
1870987,"Hartley",3567,233,"10S","10S1H3S3Q",3,2013-07-20 05:24:42.5570000,0,600,1458102,2021-08-23 00:09:52.3400000,38.417130,-121.946910
1864911,"Cannon",3567,233,"10S","10S1H3S3Q",2,2021-07-18 19:18:06.3100000,0,8294,0,2021-08-23 00:10:13.7930000,38.304360,-121.947190
1599702,"Big Reef Mill",3572,233,"12S","12S2H4S2Q",2,2020-08-23 21:27:24.6230000,0,771934,0,2021-08-23 00:11:38.2870000,33.964750,-112.484890
