date,CubeToQred
2023-10-16,3500
2023-10-17,5500
2023-10-18,5000
2023-10-19,1500
2023-10-20,2000
2023-10-21,7000
2023-10-22,2500
2023-10-23,4000
2023-10-24,5500
2023-10-25,3500
2023-10-26,6500
2023-10-27,3000
2023-10-28,7000
2023-10-29,4500
2023-10-30,2500
2023-10-31,3500
2023-11-01,4500
2023-11-02,5500
2023-11-03,7000
2023-11-04,5500
2023-11-05,4500
2023-11-06,1500
2023-11-07,2000
2023-11-08,7000
2023-11-09,6500
2023-11-10,4500
2023-11-11,6000
2023-11-12,5500
2023-11-13,4000
2023-11-14,6000
2023-11-15,6500
2023-11-16,5500
2023-11-17,7000
2023-11-18,3000
2023-11-19,2000
2023-11-20,5000
2023-11-21,6000
2023-11-22,3500
2023-11-23,7000
2023-11-24,3500
2023-11-25,3000
2023-11-26,6000
2023-11-27,3000
2023-11-28,3500
2023-11-29,2000
2023-11-30,6000
2023-12-01,7000
2023-12-02,5500
2023-12-03,4000
2023-12-04,5500
2023-12-05,6500
2023-12-06,5000
2023-12-07,6500
2023-12-08,5500
2023-12-09,7000
2023-12-10,1500
2023-12-11,6000
2023-12-12,7000
2023-12-13,1500
2023-12-14,6500
2023-12-15,2500
2023-12-16,2000
2023-12-17,4500
2023-12-18,1500
2023-12-19,5000
2023-12-20,2000
2023-12-21,5500
2023-12-22,7000
2023-12-23,2500
2023-12-24,7000
2023-12-25,9000
2023-12-26,7000
2023-12-27,3500
2023-12-28,3000
2023-12-29,4000
2023-12-30,5500
